date,value
20190820,4.02234480575178E-05
20190821,3.64606324305285E-05
20190822,8.49653190622727E-05
20190823,6.23629247355792E-05
20190824,0.000159745728904
20190825,6.33438846663288E-05
20190826,5.00905500980568E-05
20190827,6.33380282670259E-05
20190828,6.12899176266095E-05
20190829,7.62507776942169E-05
20190830,7.55536490150036E-05
20190831,7.5768923298234E-05
20190831,7.93642539065331E-05
20190901,8.81238318071132E-05
20190902,7.84906383225883E-05
20190903,0.000141085684299
20190904,0.000117780354161
20190905,8.00266861915588E-05
20190905,6.29894978677233E-05
20190906,6.30418106800679E-05
20190907,0.000111676480932
20190908,6.62482311936462E-05
20190909,8.90585943125188E-05
20190910,7.76691595092415E-05
20190911,7.93582522401622E-05
20190912,0.000132591053843
20190913,7.35236759725454E-05
20190914,6.74574831990819E-05
20190915,8.17617251267356E-05
20190916,7.17165385140106E-05
20190917,7.64847131127991E-05
20190918,0.000103858299553
20190919,6.84303616670737E-05
20190920,6.20281524201737E-05
20190921,0.000126892805565
20190921,8.13828136485356E-05
20190922,3.70832964439283E-05
20190923,8.09614974089333E-05
20190924,8.90983075931154E-05
20190925,7.77981244027614E-05
20190926,5.04987886718784E-05
20190927,6.03502580466178E-05
20190928,6.34085165687126E-05
20190929,9.98950594623616E-05
20190930,0.000129968381009
20191001,0.000100197865948
20191002,0.000105795712443
20191002,6.68848340865224E-05
20191003,8.36865712003207E-05
20191004,6.18188811914764E-05
20191005,7.32596543498505E-05
20191006,9.02752933167928E-05
20191007,4.20015262947841E-05
20191008,6.26442667383414E-05
20191009,0.000118594787394
20191010,0.00020480201534
20191011,0.000110305132384
20191012,8.52842200943764E-05
20191013,6.83020745568415E-05
20191014,9.02242811009435E-05
20191015,0.000132711540882
20191016,0.000120693963507
20191017,9.61399858906155E-05
20191018,7.59843450326186E-05
20191019,0.000103087176103
20191020,8.26731378579661E-05
20191021,7.65766332248099E-05
20191022,7.5809408346532E-05
20191023,7.43391995246593E-05
20191024,0.000158496409543
20191025,0.000125139889618
20191026,0.000122358479227
20191027,6.21404253730648E-05
20191028,7.47306395930295E-05
20191029,7.74180982261896E-05
20191030,5.06840925663709E-05
20191031,6.44672129835401E-05
20191101,0.000106408943197
20191102,0.000137027232878
20191103,6.73999436772786E-05
20191103,7.88225966971367E-05
20191104,5.50007577278191E-05
20191105,6.31609782032723E-05
20191106,0.000121057756356
20191107,0.000135390982999
20191108,0.000133880028235
20191109,7.24691417417489E-05
20191110,6.61400233600604E-05
20191111,7.15843044629652E-05
20191112,6.70751614961773E-05
20191113,0.000221151649496
20191114,0.000137804943484
20191115,8.99128463803505E-05
20191116,7.58060343461493E-05
20191117,5.55122621421121E-05
20191118,8.79384340747954E-05
20191119,7.61144085606532E-05
20191119,7.51400250010192E-05
20191120,0.00013512239093
20191121,0.00040904137848
20191122,0.000218526887378
20191123,0.000102239195257
20191124,4.13607158407103E-05
20191125,0.000139026976531
20191126,0.000199329044859
20191127,0.0001771734064
20191128,6.54500719083815E-05
20191129,9.48966846016107E-05
20191130,6.60688336938619E-05
20191201,7.42419735726082E-05
20191202,7.86686784961596E-05
20191203,9.09448593345462E-05
20191204,0.000267079490567
20191205,0.000372730023586
20191205,0.000277471298782
20191206,0.00024608689814
20191207,0.000231172478593
20191208,0.000213913299811
20191209,0.000163050404248
20191210,0.000127871199289
20191210,9.87803796306252E-05
20191211,0.000290385278111
20191212,0.000127165562521
20191213,8.02221873851671E-05
20191214,0.000107890394117
20191215,5.54220840478172E-05
20191216,2.86988904509617E-05
20191217,3.80971444731888E-05
20191218,0.000147284284748
20191220,0.000213814550079
20191221,0.000171274822483
20191222,5.05634990986436E-05
20191223,0.000114486004938
20191224,0.000324126082792
20191225,6.70077521112058E-05
20191226,8.41456232592463E-05
20191226,9.85589863705462E-05
20191227,0.000191568457071
20191228,0.000170383697092
20191229,0.000314527653715
20191230,0.000232974701014
20191231,0.000201394978481
20200101,0.000278171327598
20200102,0.000257583411068
20200103,0.000236121025579
20200104,0.000163697389265
20200105,8.61565204104408E-05
20200106,0.000277429141782
20200107,0.000184857426211
20200108,0.000120296402899
20200109,8.43811780214309E-05
20200110,0.000129754750583
20200111,0.000104568336928
20200112,0.000122776645566
20200113,9.2776997362153E-05
20200114,8.21378740931854E-05
20200115,0.000144747020018
20200116,0.00012586230193
20200117,4.14443867547171E-05
20200118,0.000122758911716
20200119,8.1917207662751E-05
20200120,0.000212838683846
20200121,0.000369863813886
20200122,7.57510664270204E-05
20200123,7.0239946944639E-05
20200124,7.92955157949644E-05
20200125,0.000165387767333
20200126,9.44363102776768E-05
20200127,0.000250174186942
20200127,0.000223921236372
20200128,0.000149285435797
20200129,8.1195129861689E-05
20200130,8.75446919913161E-05
20200131,0.000106763903691
20200201,0.000126872299555
20200202,8.34548566490411E-05
20200203,0.000115009831245
20200204,0.000191930298732
20200205,0.000108807263049
20200206,9.90118860499933E-05
20200207,0.000134759290672
20200208,7.34164414903785E-05
20200209,0.000115182575618
20200210,0.000109586631879
20200211,0.000156591197959
20200212,6.85987106407992E-05
20200213,6.319427719483E-05
20200214,6.96586974864376E-05
20200215,7.75182427003465E-05
20200216,8.86467007017627E-05
20200217,8.44920948878222E-05
20200218,7.2527913884683E-05
20200219,9.09765692133652E-05
20200220,8.33252311817237E-05
20200222,7.62246692409882E-05
20200223,9.87640814855694E-05
20200223,9.8504652471646E-05
20200224,8.54476163975703E-05
20200225,7.59358762910491E-05
20200226,9.53079765512995E-05
20200227,0.000211006794602
20200228,6.66815772532455E-05
20200229,9.82987018482339E-05
